ENR,DIAM,MM,RETARD,RESILIE,ENCAISSE,CATEGORIE,NOUVEAU
EN,1,8,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,6,3,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,7,1,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,2,1,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,10,1,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,11,9,1,0,ADMIN,0
EN,1,6,0,1,1,PRIVE,0
EN,1,3,0,0,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,4,1,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,4,1,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,3,1,1,1,PRIVE,0
EN,4,6,1,1,1,ADMIN,0
EN,1,10,9,0,0,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,3,1,1,1,PRIVE,1
EN,1,11,0,1,1,PRIVE,0
EN,1,9,1,0,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,10,1,0,1,PRIVE,1
EN,1,1,9,1,0,PRIVE,1
EN,1,9,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,5,1,1,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,6,1,1,1,ADMIN,0
EN,1,3,0,1,1,PRIVE,0
EN,1,12,0,0,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,5,1,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,8,9,0,0,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,10,1,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,5,6,1,0,1,PRIVE,0
EN,1,4,9,1,0,PRIVE,1
EN,1,7,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,1
EN,2,3,9,1,0,PRIVE,0
EN,1,11,1,0,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,3,1,1,1,PRIVE,0
EN,1,2,1,1,1,PRIVE,0
EN,2,9,0,1,1,PRIVE,0
EN,1,7,1,1,1,PRIVE,1
EN,1,1,0,1,1,PRIVE,0
EN,1,11,0,0,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,10,1,1,1,PRIVE,0
EN,1,8,1,1,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,2,0,0,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,5,1,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,5,1,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,1,1,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,1
EN,1,5,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,2,1,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,3,7,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,1
EN,1,3,1,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,4,1,1,1,PRIVE,0
EN,1,1,1,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,3,1,1,1,PRIVE,0
EN,1,10,1,1,1,PRIVE,1
EN,1,6,1,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,10,1,1,1,ADMIN,0
EN,1,12,0,0,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,4,1,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,8,0,0,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,1
EN,1,12,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,1
EN,1,11,1,1,1,PRIVE,0
EN,1,1,1,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,3,1,1,1,PRIVE,0
EN,1,6,1,1,1,PRIVE,0
EN,1,2,9,1,0,PRIVE,1
EN,1,10,1,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,6,1,1,1,PRIVE,0
EN,1,7,1,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,8,9,1,0,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,5,1,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,12,1,0,1,PRIVE,0
EN,3,4,0,1,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,8,1,1,1,PRIVE,0
EN,1,5,1,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,10,1,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,1
EN,1,4,0,1,1,PRIVE,1
EN,1,9,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,8,1,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,11,1,1,1,PRIVE,1
EN,1,8,1,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,9,9,0,0,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,2,9,1,0,PRIVE,1
EN,1,5,0,1,1,PRIVE,0
EN,1,2,1,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,10,1,0,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,5,1,1,1,PRIVE,0
EN,1,10,9,1,0,PRIVE,1
EN,1,2,9,1,0,PRIVE,1
EN,1,2,0,1,1,PRIVE,0
EN,1,1,1,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,3,6,1,1,1,ADMIN,0
EN,1,8,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,2,9,0,0,PRIVE,0
EN,1,7,1,1,1,PRIVE,0
EN,1,3,1,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,12,1,1,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,1
EN,1,11,0,1,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,11,1,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,4,12,9,1,0,ADMIN,0
EN,1,11,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,1
EN,1,5,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,4,1,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,6,0,0,1,PRIVE,0
EN,1,9,1,1,1,ADMIN,0
EN,1,4,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,10,1,1,1,PRIVE,0
EN,1,7,1,1,1,PRIVE,0
EN,1,4,1,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,3,1,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,6,1,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,7,0,0,1,PRIVE,0
EN,1,3,0,0,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,12,0,0,1,PRIVE,0
EN,1,3,1,1,1,PRIVE,0
EN,1,6,0,0,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,7,1,1,1,PRIVE,1
EN,1,9,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,6,1,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,10,0,0,1,PRIVE,0
EN,1,9,1,1,1,PRIVE,0
EN,1,7,9,0,0,PRIVE,0
EN,1,12,1,1,1,PRIVE,0
EN,1,6,1,1,1,PRIVE,1
EN,1,7,1,1,1,PRIVE,0
EN,1,7,1,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,11,1,0,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,11,1,0,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,3,9,0,0,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,1,1,1,1,PRIVE,0
EN,1,12,9,0,0,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,8,1,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,2,12,0,1,1,PRIVE,0
EN,1,11,1,1,1,PRIVE,0
EN,1,10,1,0,1,PRIVE,0
EN,1,9,1,0,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,2,1,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,3,1,1,1,ADMIN,0
EN,1,6,0,0,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,12,0,0,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,1,0,0,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,8,1,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,4,1,1,1,PRIVE,0
EN,1,10,9,1,0,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,1,1,0,1,PRIVE,1
EN,1,1,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,6,9,0,0,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,7,1,1,1,ADMIN,0
EN,1,12,0,1,1,PRIVE,0
EN,1,8,1,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,2,3,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,3,1,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,6,0,0,1,PRIVE,0
EN,1,7,1,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,7,1,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,2,9,1,1,1,ADMIN,0
EN,1,12,0,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,4,1,1,1,PRIVE,1
EN,1,9,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,3,1,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,3,1,1,1,PRIVE,0
EN,1,5,1,1,1,ADMIN,0
EN,1,6,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,1
EN,1,6,9,1,0,PRIVE,1
EN,1,1,0,1,1,PRIVE,0
EN,1,8,1,1,1,PRIVE,0
EN,1,8,1,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,4,1,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,3,4,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,10,1,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,10,1,0,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,6,9,1,0,PRIVE,0
EN,1,1,1,1,1,PRIVE,0
EN,1,9,1,1,1,ADMIN,0
EN,1,10,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,7,1,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,2,10,1,1,1,ADMIN,0
EN,1,9,0,1,1,PRIVE,0
EN,1,4,9,0,0,PRIVE,0
EN,1,5,1,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,3,1,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,9,1,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,11,1,1,1,PRIVE,0
EN,1,8,1,1,1,PRIVE,1
EN,1,5,1,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,1,1,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,7,9,1,0,PRIVE,1
EN,1,7,0,1,1,PRIVE,1
EN,1,3,0,1,1,PRIVE,0
EN,1,7,1,1,1,PRIVE,0
EN,1,6,1,1,1,PRIVE,0
EN,2,12,1,1,1,ADMIN,0
EN,1,5,1,1,1,PRIVE,0
EN,1,10,1,1,1,PRIVE,0
EN,1,9,1,0,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,1
EN,1,11,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,3,3,1,1,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,11,9,1,0,ADMIN,0
EN,1,6,1,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,2,1,1,1,PRIVE,0
EN,1,3,1,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,4,1,1,1,PRIVE,0
EN,1,1,0,0,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,6,1,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,1
EN,1,6,0,0,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,11,1,1,1,PRIVE,1
EN,1,8,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,6,1,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,1
EN,1,8,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,10,1,1,1,PRIVE,1
EN,1,12,1,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,8,1,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,2,6,1,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,1
EN,1,7,1,1,1,PRIVE,0
EN,1,12,1,1,1,PRIVE,0
EN,1,9,1,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,10,1,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,11,1,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,3,6,1,1,1,ADMIN,0
EN,1,6,0,1,1,PRIVE,1
EN,1,2,0,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,2,9,1,0,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,11,1,1,1,PRIVE,1
EN,1,7,0,0,1,PRIVE,0
EN,1,8,1,1,1,ADMIN,0
EN,1,8,1,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,2,1,1,1,PRIVE,1
EN,1,10,1,0,1,PRIVE,0
EN,1,11,1,1,1,PRIVE,0
EN,1,7,0,0,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,10,1,1,1,PRIVE,0
EN,1,9,0,0,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,7,1,1,1,PRIVE,0
EN,1,6,0,0,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,7,1,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,7,1,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,7,1,0,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,7,1,1,1,PRIVE,0
EN,1,10,1,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,1
EN,1,2,1,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,11,1,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,10,1,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,9,1,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,7,9,0,0,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,7,1,1,1,PRIVE,0
EN,1,9,1,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,3,0,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,9,1,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,4,0,1,1,PRIVE,0
EN,1,4,1,0,1,PRIVE,0
EN,1,1,1,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,1,0,0,1,PRIVE,0
EN,1,2,1,1,1,PRIVE,0
EN,1,7,1,1,1,PRIVE,0
EN,1,1,0,1,1,PRIVE,0
EN,1,7,1,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,12,0,1,1,PRIVE,1
EN,1,5,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,1,0,0,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
EN,1,2,9,1,0,PRIVE,1
EN,1,9,0,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,2,0,1,1,PRIVE,1
EN,1,7,0,0,1,PRIVE,0
EN,1,10,1,1,1,PRIVE,0
EN,1,10,0,1,1,PRIVE,0
EN,1,4,0,0,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,6,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,11,1,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,11,0,1,1,PRIVE,0
EN,1,9,1,1,1,PRIVE,0
EN,1,9,0,1,1,PRIVE,0
EN,1,7,1,1,1,PRIVE,0
EN,1,5,0,1,1,PRIVE,0
EN,1,8,0,1,1,PRIVE,0
EN,1,7,0,1,1,PRIVE,0
